cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,pred_homo_ev,pred_lumo_ev,pred_gap_ev
439899,"(4S)-4-[(5R,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,374.56500000000017,27,24,3,0,0,0,0,-9.0546,2.2359,11.0271
231149,4-[3-methyl-4-(2-phenylethyl)piperazin-1-yl]butan-1-ol,CC1CN(CCN1CCC2=CC=CC=C2)CCCCO,276.42400000000004,20,17,1,2,0,0,1,-7.5926,1.7144,9.2472
471030,"2-cyclohexylsulfanyl-6-[(2,6-difluorophenyl)methyl]-1H-pyrimidin-4-one",C1CCC(CC1)SC2=NC(=O)C=C(N2)CC3=C(C=CC=C3F)F,336.407,23,17,1,2,1,2,2,-8.1135,0.6062,8.5294
617890,methyl 5-bromo-1-benzothiophene-3-carboxylate,COC(=O)C1=CSC2=C1C=C(C=C2)Br,271.135,14,10,2,0,1,1,2,-8.2635,-0.2467,8.0039
291705,benzyl N-(4-bromo-3-oxo-1-phenylbutan-2-yl)carbamate,C1=CC=C(C=C1)CC(C(=O)CBr)NC(=O)OCC2=CC=CC=C2,376.2500000000001,23,18,3,1,0,1,2,-8.2597,0.483,8.6876
848750,"3-(benzimidazol-1-ylmethyl)-6-benzyl-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole",C1=CC=C(C=C1)CC2=NN3C(=NN=C3S2)CN4C=NC5=CC=CC=C54,346.41900000000004,25,18,0,6,1,0,5,-8.2017,-0.2144,7.7708
911528,2-[(E)-3-(4-bromophenyl)-1-phenylprop-2-enylidene]propanedinitrile,C1=CC=C(C=C1)C(=C(C#N)C#N)C=CC2=CC=C(C=C2)Br,335.204,21,18,0,2,0,1,2,-8.6968,-0.6562,7.7374
6815,2-tert-butyl-4-[1-(5-tert-butyl-4-hydroxy-2-methylphenyl)butyl]-5-methylphenol,CCCC(C1=CC(=C(C=C1C)O)C(C)(C)C)C2=CC(=C(C=C2C)O)C(C)(C)C,382.58800000000014,28,26,2,0,0,0,2,-7.9366,0.906,9.0703
795668,"N-(2,3-dihydro-1,4-benzodioxin-6-yl)-4-phenylbutanamide",C1COC2=C(O1)C=CC(=C2)NC(=O)CCCC3=CC=CC=C3,297.3539999999999,22,18,3,1,0,0,2,-7.7262,1.0995,9.1588
844963,"(E)-3-(2,6-dichlorophenyl)-1-(4-ethylpiperazin-1-yl)prop-2-en-1-one",CCN1CCN(CC1)C(=O)C=CC2=C(C=CC=C2Cl)Cl,313.22800000000007,20,15,1,2,0,2,1,-8.036,0.3903,8.1937
732053,"3-[(4-methylphenyl)methylsulfanyl]-1H-1,2,4-triazol-5-amine",CC1=CC=C(C=C1)CSC2=NNC(=N2)N,220.301,15,10,0,4,1,0,2,-7.8949,1.2233,9.0966
443144,1-[(2S)-1-methylpyrrolidin-2-yl]propan-2-one,CC(=O)CC1CCCN1C,141.214,10,8,1,1,0,0,0,-8.2482,2.8155,11.2373
291370,"2,2,2-tris[4-(dimethylamino)phenyl]acetonitrile",CN(C)C1=CC=C(C=C1)C(C#N)(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)N(C)C,398.55400000000014,30,26,0,4,0,0,3,-7.2904,0.8549,8.4174
163033,3-(1-carboxyethoxycarbonyl)pentadec-4-enoic acid,CCCCCCCCCCC=CC(CC(=O)O)C(=O)OC(C)C(=O)O,356.4590000000001,25,19,6,0,0,0,0,-8.6785,1.2379,9.8742
225773,3-(2-methylbenzimidazol-1-yl)propanamide,CC1=NC2=CC=CC=C2N1CCC(=O)N,203.24499999999992,15,11,1,3,0,0,2,-8.098,0.6009,8.6614
800582,"(2R)-1-(2,6-dimethylphenoxy)-3-(3-methylbenzimidazol-3-ium-1-yl)propan-2-ol",CC1=C(C(=CC=C1)C)OCC(CN2C=[N+](C3=CC=CC=C32)C)O,311.40500000000003,23,19,2,2,0,0,3,-7.579,1.2025,8.6697
352945,4-[2-(1H-indol-3-yl)ethyl]quinoline,C1=CC=C2C(=C1)C(=CN2)CCC3=CC=NC4=CC=CC=C34,272.351,21,19,0,2,0,0,4,-7.3982,0.8488,8.3025
107176,"3,5,5-trimethylhexanoyl 3,5,5-trimethylhexaneperoxoate",CC(CC(=O)OOC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,314.46600000000007,22,18,4,0,0,0,0,-9.1546,1.707,10.6035
97252,"1,4-dimethylquinolin-2-one",CC1=CC(=O)N(C2=CC=CC=C12)C,173.215,13,11,1,1,0,0,2,-7.7174,0.3247,8.2401
398383,1-[1-(1-benzothiophen-2-yl)-4-isothiocyanatocyclohexyl]piperidine,C1CCN(CC1)C2(CCC(CC2)N=C=S)C3=CC4=CC=CC=C4S3,356.56000000000006,24,20,0,2,2,0,2,-7.2829,1.0064,8.5241
101415,N-phenyldiazenyl-N-propylpropan-1-amine,CCCN(CCC)N=NC1=CC=CC=C1,205.305,15,12,0,3,0,0,1,-7.632,1.0927,8.9856
376418,N-(2-methyl-4-oxoquinazolin-3-yl)pyridine-2-carboxamide,CC1=NC2=CC=CC=C2C(=O)N1NC(=O)C3=CC=CC=N3,280.287,21,15,2,4,0,0,3,-8.0996,-0.2241,7.7407
888663,5-bromo-N-[3-(methoxymethyl)phenyl]pyridine-3-carboxamide,COCC1=CC(=CC=C1)NC(=O)C2=CC(=CN=C2)Br,321.174,19,14,2,2,0,1,2,-7.8667,0.5542,8.4069
360664,"8-amino-7-methyl-10-(2,3,4,5-tetrahydroxypentyl)benzo[g]pteridine-2,4-dione",CC1=CC2=C(C=C1N)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,377.3570000000001,27,16,6,5,0,0,1,-7.9093,-0.4075,7.3786
633053,"3-(13-pentyl-9,13-diazatetracyclo[10.3.1.02,10.03,8]hexadeca-2(10),3,5,7-tetraen-1-yl)phenol",CCCCCN1CCC2(CC1CC3=C2C4=CC=CC=C4N3)C5=CC(=CC=C5)O,374.5280000000001,28,25,1,2,0,0,3,-7.483,1.0066,8.3689
846336,N'-(cyclohexanecarbonyl)pyridine-2-carbohydrazide,C1CCC(CC1)C(=O)NNC(=O)C2=CC=CC=N2,247.29800000000003,18,13,2,3,0,0,1,-8.0916,1.1912,9.1194
45562,3-(2-methylpiperidin-1-yl)propyl 3-phenylprop-2-enoate,CC1CCCCN1CCCOC(=O)C=CC2=CC=CC=C2,287.403,21,18,2,1,0,0,1,-7.8626,1.0398,8.9084
765180,"(3S)-3-[4-(dimethylamino)phenyl]-5-naphthalen-2-yl-3,4-dihydropyrazole-2-carbaldehyde",CN(C)C1=CC=C(C=C1)C2CC(=NN2C=O)C3=CC4=CC=CC=C4C=C3,343.43,26,22,1,3,0,0,3,-7.467,0.1271,7.9215
481742,"6-(4-ethoxyanilino)-1,3-benzothiazole-4,7-dione",CCOC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)SC=N3,300.33899999999994,21,15,3,2,1,0,2,-7.7067,-1.14,6.8764
562276,4-O-tert-butyl 1-O-[(4-nitrophenyl)methyl] 2-aminobutanedioate,CC(C)(C)OC(=O)CC(C(=O)OCC1=CC=C(C=C1)[N+](=O)[O-])N,324.333,23,15,6,2,0,0,1,-8.4529,-0.166,8.3915
967097,1-phenyl-3-(2-phenylsulfanylphenyl)urea,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2SC3=CC=CC=C3,320.41700000000003,23,19,1,2,1,0,3,-7.7195,0.4708,8.1771
396923,"6,7,16,17-tetramethyl-5,11,15-trithia-1,3,10,13-tetrazapentacyclo[10.7.0.02,10.04,8.014,18]nonadeca-2,4(8),6,12,14(18),16-hexaene-9,19-dione",CC1=C(SC2=C1C(=O)N3C(=N2)N4C(=O)C5=C(N=C4S3)SC(=C5C)C)C,388.4990000000001,25,16,2,4,3,0,5,-8.0781,-0.3493,7.5807
82628,4-ethoxy-2-hydroxybenzoic acid,CCOC1=CC(=C(C=C1)C(=O)O)O,182.175,13,9,4,0,0,0,1,-8.2543,0.9473,9.0281
307420,N-(4-acetamidophenyl)dodecanamide,CCCCCCCCCCCC(=O)NC1=CC=C(C=C1)NC(=O)C,332.48800000000006,24,20,2,2,0,0,1,-8.1572,1.2571,9.534
869694,"2-amino-4-(furan-2-yl)-5,6,7,8-tetrahydronaphthalene-1,3-dicarbonitrile",C1CCC2=C(C1)C(=C(C(=C2C3=CC=CO3)C#N)N)C#N,263.29999999999995,20,16,1,3,0,0,2,-8.2148,-0.2016,8.021
659177,"8-fluoro-3-(3-morpholin-4-ylpropyl)-5H-pyrimido[5,4-b]indol-4-one",C1COCCN1CCCN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)F,330.36300000000006,24,17,2,4,0,1,3,-7.7434,0.3327,8.0826
648565,methyl 4-[5-[2-(2-methoxyanilino)-2-oxoethyl]sulfanyltetrazol-1-yl]benzoate,COC1=CC=CC=C1NC(=O)CSC2=NN=NN2C3=CC=C(C=C3)C(=O)OC,399.4320000000001,28,18,4,5,1,0,3,-7.8241,-0.0531,8.0365
928464,"(8S,9S,10S,13S,14R,17S)-10,13-dimethylspiro[2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-17,5'-oxolane]-2',3-dione",CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC45CCC(=O)O5)C,342.4790000000001,25,22,3,0,0,0,0,-9.007,0.8207,9.3562
903566,N-[4-[(2R)-butan-2-yl]phenyl]-2-(4-fluorophenoxy)acetamide,CCC(C)C1=CC=C(C=C1)NC(=O)COC2=CC=C(C=C2)F,301.361,22,18,2,1,0,1,2,-7.9678,0.8285,8.7271
379202,"2-N,4-N,6-N-trimethoxy-2-N,4-N,6-N-trimethyl-1,3,5-triazine-2,4,6-triamine",CN(C1=NC(=NC(=N1)N(C)OC)N(C)OC)OC,258.282,18,9,3,6,0,0,1,-7.8938,1.3736,9.6717
201630,"triethyl-[2-(2-hydroxy-2,2-diphenylacetyl)oxyethyl]azanium iodide",CC[N+](CC)(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O.[I-],483.39,27,22,3,1,0,1,2,-8.0994,1.2747,9.1093
738798,(E)-2-cyano-N-(4-methoxyphenyl)-3-(5-methylfuran-2-yl)prop-2-enamide,CC1=CC=C(O1)C=C(C#N)C(=O)NC2=CC=C(C=C2)OC,282.29900000000004,21,16,3,2,0,0,2,-8.2166,-0.4509,7.8742
72934,"6-[(3,5-dimethoxyanilino)methyl]-5-methylpyrido[2,3-d]pyrimidine-2,4-diamine",CC1=C2C(=NC(=NC2=NC=C1CNC3=CC(=CC(=C3)OC)OC)N)N,340.38700000000017,25,17,2,6,0,0,3,-6.8132,0.6231,7.4598
48051,"[4-[[dimethyl-[4-(2,2,6-trimethylcyclohexyl)butan-2-yl]azaniumyl]methyl]phenyl]methyl-dimethyl-[4-(2,2,6-trimethylcyclohexyl)butan-2-yl]azanium",CC1CCCC(C1CCC(C)[N+](C)(C)CC2=CC=C(C=C2)C[N+](C)(C)C(C)CCC3C(CCCC3(C)C)C)(C)C,554.9920000000004,40,38,0,2,0,0,1,-7.3693,1.5312,9.1038
693385,"4-[(5-bromo-2,4-dimethoxyphenyl)methylideneamino]benzonitrile",COC1=CC(=C(C=C1C=NC2=CC=C(C=C2)C#N)Br)OC,345.196,21,16,2,2,0,1,2,-8.3004,-0.3847,7.8347
238969,3-chloroprop-2-enyl N-(3-chlorophenyl)carbamate,C1=CC(=CC(=C1)Cl)NC(=O)OCC=CCl,246.093,15,10,2,1,0,2,1,-8.2308,0.3406,8.4081
810621,"N-cyclopropyl-2-[[cyclopropyl-(3-fluorobenzoyl)amino]methyl]-1,3-oxazole-4-carboxamide",C1CC1NC(=O)C2=COC(=N2)CN(C3CC3)C(=O)C4=CC(=CC=C4)F,343.358,25,18,3,3,0,1,2,-8.315,0.4589,8.6045
303446,4-methyl-1-[3-[4-methyl-2-(2-methylpropyl)pentanoyl]-7-oxabicyclo[2.2.1]heptan-2-yl]-2-(2-methylpropyl)pentan-1-one,CC(C)CC(CC(C)C)C(=O)C1C2CCC(C1C(=O)C(CC(C)C)CC(C)C)O2,406.6510000000002,29,26,3,0,0,0,0,-9.0174,2.2957,10.8832
83668,"1,5-diamino-4,8-dihydroxy-2-(4-methoxyphenyl)anthracene-9,10-dione",COC1=CC=C(C=C1)C2=CC(=C3C(=C2N)C(=O)C4=C(C=CC(=C4C3=O)N)O)O,376.36800000000005,28,21,5,2,0,0,3,-7.5884,-0.5561,6.7218
896866,3-cyclopentyl-N-(4-sulfamoylphenyl)propanamide,C1CCC(C1)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N,296.3920000000001,20,14,3,2,1,0,1,-8.4789,0.7867,9.2082
244099,"5-[[2-hydroxyethyl(methyl)amino]methyl]-2,4-dioxo-1H-pyrimidine-6-carboxylic acid",CN(CCO)CC1=C(NC(=O)NC1=O)C(=O)O,243.219,17,9,5,3,0,0,1,-8.469,0.6268,9.0684
908574,"[(3S,8S,9R,10S,13S,14S)-10,13-dimethyl-17-oxo-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-yl] acetate",CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4=O)C)C,330.46800000000013,24,21,3,0,0,0,0,-8.8931,0.6131,9.2748
105908,"4-[(2,6-dichloro-4-nitrophenyl)diazenyl]-N,N-diethylaniline",CCN(CC)C1=CC=C(C=C1)N=NC2=C(C=C(C=C2Cl)[N+](=O)[O-])Cl,367.2360000000001,24,16,2,4,0,2,2,-8.1043,-0.1044,8.005
398592,tert-butyl N-[methyl(2-pyrrolidin-1-ylethyl)carbamoyl]carbamate,CC(C)(C)OC(=O)NC(=O)N(C)CCN1CCCC1,271.361,19,13,3,3,0,0,0,-8.1625,2.1625,10.7299
291477,"2-[N-(benzenesulfonyl)-3-chloro-2,4,6-trimethylanilino]acetic acid",CC1=CC(=C(C(=C1N(CC(=O)O)S(=O)(=O)C2=CC=CC=C2)C)Cl)C,367.8540000000001,24,17,4,1,1,1,2,-8.4629,0.154,8.5799
475436,"tert-butyl N-[(2S,3R)-1-[[(2S)-1-[[(2S,3S,5R)-6-(butylamino)-1-cyclohexyl-3-hydroxy-5-methyl-6-oxohexan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]carbamate",CCCCNC(=O)C(C)CC(C(CC1CCCCC1)NC(=O)C(C(C)C)NC(=O)C(C(C)O)NC(=O)OC(C)(C)C)O,598.826,42,31,7,4,0,0,0,-8.2051,1.5853,10.2623
666564,"2-(3-benzyl-2,4-dioxo-1,3-thiazolidin-5-yl)acetic acid",C1=CC=C(C=C1)CN2C(=O)C(SC2=O)CC(=O)O,265.29,18,12,4,1,1,0,1,-8.5124,0.1354,8.2384
874629,ethyl 2-[(3-ethoxybenzoyl)amino]-5-ethylthiophene-3-carboxylate,CCC1=CC(=C(S1)NC(=O)C2=CC(=CC=C2)OCC)C(=O)OCC,347.4360000000002,24,18,4,1,1,0,2,-7.7561,0.2976,8.2394
382555,"1,7,7-trimethylbicyclo[2.2.1]heptane-2,6-dione",CC1(C2CC(=O)C1(C(=O)C2)C)C,166.21999999999997,12,10,2,0,0,0,0,-9.1984,1.8286,10.2376
388163,"4-[[3-[(4-chlorophenyl)methyl]-5-oxo-1H-1,2,4-triazol-4-yl]amino]-4-oxobut-2-enoic acid",C1=CC(=CC=C1CC2=NNC(=O)N2NC(=O)C=CC(=O)O)Cl,322.708,22,13,4,4,0,1,2,-8.4773,-0.3167,8.1777
372529,"8,11-dimethyl-12-oxa-1,11-diazatetracyclo[7.6.0.02,7.010,14]pentadeca-2,4,6,8-tetraene",CC1=C2C3C(CN2C4=CC=CC=C14)CON3C,228.295,17,14,1,2,0,0,2,-7.3898,0.8786,8.6038
219685,methyl 3-(4-nitrophenyl)prop-2-enoate,COC(=O)C=CC1=CC=C(C=C1)[N+](=O)[O-],207.185,15,10,4,1,0,0,1,-8.5844,-0.5772,7.8996
702730,"3-[(dimethylamino)methyl]-2,7,8-trimethyl-1H-quinolin-4-one",CC1=C(C2=C(C=C1)C(=O)C(=C(N2)C)CN(C)C)C,244.338,18,15,1,2,0,0,2,-7.4928,0.9447,8.3156
279947,4-(dimethylaminodiazenyl)-5-propan-2-yl-1H-pyrazole-3-carboxamide,CC(C)C1=C(C(=NN1)C(=O)N)N=NN(C)C,224.268,16,9,1,6,0,0,1,-8.0969,0.9042,9.1428
735912,"4-(6-methylimidazo[1,2-a]pyridin-2-yl)benzonitrile",CC1=CN2C=C(N=C2C=C1)C3=CC=C(C=C3)C#N,233.274,18,15,0,3,0,0,3,-8.0984,-0.2178,7.9612
982154,"(1R,6S)-6-[[2-[(3,4-dichlorophenyl)carbamoyl]phenyl]carbamoyl]cyclohex-3-ene-1-carboxylic acid",C1C=CCC(C1C(=O)NC2=CC=CC=C2C(=O)NC3=CC(=C(C=C3)Cl)Cl)C(=O)O,433.29100000000005,29,21,4,2,0,2,2,-8.0433,0.0426,8.0367
716752,3-phenyl-N-(2H-tetrazol-5-yl)prop-2-enamide,C1=CC=C(C=C1)C=CC(=O)NC2=NNN=N2,215.216,16,10,1,5,0,0,2,-8.4812,0.1716,8.3894
679515,"2-[[[(2R)-2-hydroxy-2-phenylethyl]amino]methyl]isoindole-1,3-dione",C1=CC=C(C=C1)C(CNCN2C(=O)C3=CC=CC=C3C2=O)O,296.326,22,17,3,2,0,0,2,-7.9431,0.6891,8.7466
74871,but-1-en-2-ylbenzene,CCC(=C)C1=CC=CC=C1,132.20599999999996,10,10,0,0,0,0,1,-8.3148,0.9527,9.6234
638721,"(3E)-6,6-diethoxy-1,1-diiodo-4-methylhexa-1,3-diene",CCOC(CC(=CC=C(I)I)C)OCC,436.0710000000001,15,11,2,0,0,2,0,-8.3188,1.4532,10.1064
665823,"propan-2-yl 2-[(6-chloro-1H-imidazo[4,5-b]pyridin-2-yl)sulfanyl]acetate",CC(C)OC(=O)CSC1=NC2=C(N1)C=C(C=N2)Cl,285.75600000000003,18,11,2,3,1,1,2,-8.2186,0.2451,8.3582
179452,"[(2,6-diethylphenyl)hydrazinylidene]methanesulfonic acid",CCC1=C(C(=CC=C1)CC)NN=CS(=O)(=O)O,256.327,17,11,3,2,1,0,1,-8.1696,0.5532,8.8097
560087,methyl 3-methylcyclopentane-1-carboxylate,CC1CCC(C1)C(=O)OC,142.19799999999998,10,8,2,0,0,0,0,-9.0657,2.4306,11.3757
764545,N-(4-ethoxyphenyl)-2-(4-methoxyphenyl)acetamide,CCOC1=CC=C(C=C1)NC(=O)CC2=CC=C(C=C2)OC,285.343,21,17,3,1,0,0,2,-7.5913,0.9634,8.818
256703,2-methyl-6-pyridin-3-ylpyrimidin-4-amine,CC1=NC(=CC(=N1)N)C2=CN=CC=C2,186.218,14,10,0,4,0,0,2,-7.914,0.1483,8.3475
171340,benzyl-dimethyl-nonylazanium,CCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,262.461,19,18,0,1,0,0,1,-7.5794,1.7168,9.4486
484715,"3,7-dinitro-5-oxidopyrazolo[5,1-c][1,2,4]benzotriazin-5-ium",C1=CC2=C(C=C1[N+](=O)[O-])[N+](=NC3=C(C=NN23)[N+](=O)[O-])[O-],276.168,20,9,5,6,0,0,3,-9.6366,-1.6871,7.4981
397888,"20-[3-(2-hydroxyethylamino)propyl]-15,16-dimethoxy-5,7-dioxa-20-azapentacyclo[10.8.0.02,10.04,8.013,18]icosa-1(12),2,4(8),9,13,15,17-heptaene-11,19-dione",COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC,452.4630000000003,33,24,7,2,0,0,3,-7.2585,-0.8435,6.3016
283061,6-hydroxy-6-(2-phenylethyl)-12-azadispiro[4.1.47.25]tridecan-13-one,C1CCC2(C1)C(=O)NC3(C2(CCC4=CC=CC=C4)O)CCCC3,313.44100000000014,23,20,2,1,0,0,1,-8.0308,1.4724,9.3073
970343,"1-(4-methoxy-2,5-dimethylphenyl)sulfonyl-2,3-dihydroindole",CC1=CC(=C(C=C1S(=O)(=O)N2CCC3=CC=CC=C32)C)OC,317.4100000000001,22,17,3,1,1,0,2,-8.0417,0.5076,8.4993
