cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,library_canonical_check,in_qm9
813865,"2-[(4-fluorophenyl)sulfonyl-propan-2-ylamino]-N-(1,2-oxazol-3-yl)acetamide",CC(C)N(CC(=O)NC1=NOC=C1)S(=O)(=O)C2=CC=C(C=C2)F,341.36400000000003,23,14,4,3,1,1,2,CC(C)N(CC(=O)Nc1ccon1)S(=O)(=O)c1ccc(F)cc1,False
606575,"5-(5-ethylfuran-2-yl)imidazolidine-2,4-dione",CCC1=CC=C(O1)C2C(=O)NC(=O)N2,194.19,14,9,3,2,0,0,1,CCc1ccc(C2NC(=O)NC2=O)o1,False
605694,octadecyl 3-(trifluoromethyl)benzoate,CCCCCCCCCCCCCCCCCCOC(=O)C1=CC(=CC=C1)C(F)(F)F,442.606,31,26,2,0,0,3,1,CCCCCCCCCCCCCCCCCCOC(=O)c1cccc(C(F)(F)F)c1,False
238597,4-(4-nitrophenyl)sulfonylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],307.283,21,13,6,1,1,0,2,O=C(O)c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,False
756443,(1-tert-butyl-3-methyl-4-phenylsulfanylpyrazol-5-yl) acetate,CC1=NN(C(=C1SC2=CC=CC=C2)OC(=O)C)C(C)(C)C,304.4150000000001,21,16,2,2,1,0,2,CC(=O)Oc1c(Sc2ccccc2)c(C)nn1C(C)(C)C,False
53850,2-(diethylamino)ethyl 2-benzylidenebutanoate,CCC(=CC1=CC=CC=C1)C(=O)OCCN(CC)CC,275.392,20,17,2,1,0,0,1,CCC(=Cc1ccccc1)C(=O)OCCN(CC)CC,False
611869,(10-acetylphenothiazin-3-yl) acetate,CC(=O)N1C2=C(C=C(C=C2)OC(=O)C)SC3=CC=CC=C31,299.351,21,16,3,1,1,0,2,CC(=O)Oc1ccc2c(c1)Sc1ccccc1N2C(C)=O,False
178795,2-[4-(6-chloroquinoxalin-2-yl)oxyphenoxy]propanoic acid,CC(C(=O)O)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl,344.754,24,17,4,2,0,1,3,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,False
549698,"4,6-dimethylnona-2,7-dien-5-one",CC=CC(C)C(=O)C(C)C=CC,166.264,12,11,1,0,0,0,0,CC=CC(C)C(=O)C(C)C=CC,False
659581,"1-[4-methoxy-3-(pyridin-2-ylsulfanylmethyl)phenyl]-N-(1,2,4-triazol-1-yl)methanimine",COC1=C(C=C(C=C1)C=NN2C=NC=N2)CSC3=CC=CC=N3,325.397,23,16,1,5,1,0,3,COc1ccc(C=Nn2cncn2)cc1CSc1ccccn1,False
649841,"4-methyl-3-morpholin-4-ylsulfonyl-N-(1,3,4-thiadiazol-2-yl)benzamide",CC1=C(C=C(C=C1)C(=O)NC2=NN=CS2)S(=O)(=O)N3CCOCC3,368.4400000000002,24,14,4,4,2,0,2,Cc1ccc(C(=O)Nc2nncs2)cc1S(=O)(=O)N1CCOCC1,False
812234,"3-(3,4-dimethylphenyl)-1-methyl-N-(4-methylphenyl)pyrazole-5-carboxamide",CC1=CC=C(C=C1)NC(=O)C2=CC(=NN2C)C3=CC(=C(C=C3)C)C,319.4080000000001,24,20,1,3,0,0,3,Cc1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nn2C)cc1,False
882028,3-phenyl-N-[(2S)-4-phenylbutan-2-yl]prop-2-enamide,CC(CCC1=CC=CC=C1)NC(=O)C=CC2=CC=CC=C2,279.383,21,19,1,1,0,0,2,CC(CCc1ccccc1)NC(=O)C=Cc1ccccc1,False
398659,"but-2-enedioic acid;11-methyl-8-oxa-11-azatetracyclo[10.3.1.01,10.02,7]hexadeca-2(7),3,5-trien-6-ol",CN1C2CCCC3(C2)C1COC4=C3C=CC=C4O.C(=CC(=O)O)C(=O)O,361.3940000000001,26,19,6,1,0,0,1,CN1C2CCCC3(C2)c2cccc(O)c2OCC13.O=C(O)C=CC(=O)O,False
154955,N-[3-methoxy-4-[(2-propan-2-ylacridin-9-yl)amino]phenyl]methanesulfonamide,CC(C)C1=CC2=C(C3=CC=CC=C3N=C2C=C1)NC4=C(C=C(C=C4)NS(=O)(=O)C)OC,435.54900000000015,31,24,3,3,1,0,4,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccc(C(C)C)cc12,False
861575,ethyl 4-amino-2-[(2S)-2-ethylpiperidine-1-carbonyl]sulfanylpyrimidine-5-carboxylate,CCC1CCCCN1C(=O)SC2=NC=C(C(=N2)N)C(=O)OCC,338.43300000000016,23,15,3,4,1,0,1,CCOC(=O)c1cnc(SC(=O)N2CCCCC2CC)nc1N,False
713794,cyclohexyl N-(4-chlorobenzoyl)carbamate,C1CCC(CC1)OC(=O)NC(=O)C2=CC=C(C=C2)Cl,281.73900000000003,19,14,3,1,0,1,1,O=C(NC(=O)c1ccc(Cl)cc1)OC1CCCCC1,False
253962,"1,1-dioxo-3,4-dihydro-2H-pyrimido[4,5-e][1,2,4]thiadiazin-8-amine",C1NC2=NC=NC(=C2S(=O)(=O)N1)N,201.211,13,5,2,5,1,0,1,Nc1ncnc2c1S(=O)(=O)NCN2,False
33105,7-methyl-1-benzofuran,CC1=C2C(=CC=C1)C=CO2,132.16199999999995,10,9,1,0,0,0,2,Cc1cccc2ccoc12,False
600384,1-(4-methyl-1-benzothiophen-2-yl)ethanone,CC1=C2C=C(SC2=CC=C1)C(=O)C,190.267,13,11,1,0,1,0,2,CC(=O)c1cc2c(C)cccc2s1,False
994266,"2-[2-(4,4-dimethyl-1-sulfanylidenedithiolo[3,4-c]quinolin-5-yl)-2-oxoethyl]isoindole-1,3-dione",CC1(C2=C(C3=CC=CC=C3N1C(=O)CN4C(=O)C5=CC=CC=C5C4=O)C(=S)SS2)C,452.5820000000001,30,22,3,2,3,0,3,CC1(C)c2ssc(=S)c2-c2ccccc2N1C(=O)CN1C(=O)c2ccccc2C1=O,False
734550,"methyl 4-(3,3-dimethylbutanoylcarbamothioylamino)benzoate",CC(C)(C)CC(=O)NC(=S)NC1=CC=C(C=C1)C(=O)OC,308.4030000000001,21,15,3,2,1,0,1,COC(=O)c1ccc(NC(=S)NC(=O)CC(C)(C)C)cc1,False
115234,"[(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] N-[2-(dimethylamino)ethyl]carbamate",CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)NCCN(C)C)C)C,500.8120000000004,36,32,2,2,0,0,0,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OC(=O)NCCN(C)C)CCC4(C)C3CCC12C,False
200052,"methyl (5aR,5bS,7aS,10S,11aS,13aR,13bR)-5a,5b,7a,10,13b-pentamethyl-13-oxo-3-propan-2-yl-2,4,5,6,7,8,9,11,11a,13a-decahydro-1H-cyclopenta[a]chrysene-10-carboxylate",CC(C)C1=C2CCC3(C(C2(CC1)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)OC)C)C)C,466.7060000000004,34,31,3,0,0,0,0,COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(C(C)C)=C5CCC43C)C2C1,False
462463,N-[(4-phenylphenyl)methyl]quinolin-3-amine,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=CC4=CC=CC=C4N=C3,310.40000000000003,24,22,0,2,0,0,4,c1ccc(-c2ccc(CNc3cnc4ccccc4c3)cc2)cc1,False
328931,4-amino-5-(5-chloro-1-benzofuran-2-carbonyl)-2-(4-chloro-2-methylanilino)thiophene-3-carbonitrile,CC1=C(C=CC(=C1)Cl)NC2=C(C(=C(S2)C(=O)C3=CC4=C(O3)C=CC(=C4)Cl)N)C#N,442.3270000000001,29,21,2,3,1,2,4,Cc1cc(Cl)ccc1Nc1sc(C(=O)c2cc3cc(Cl)ccc3o2)c(N)c1C#N,False
439123,"5-(4,5-dihydro-1H-imidazol-2-yl)-2-[2-[6-(4,5-dihydro-1H-imidazol-2-yl)-1-benzofuran-2-yl]ethenyl]-1H-indole",C1CN=C(N1)C2=CC3=C(C=C2)NC(=C3)C=CC4=CC5=C(O4)C=C(C=C5)C6=NCCN6,395.4660000000002,30,24,1,5,0,0,4,C(=Cc1cc2ccc(C3=NCCN3)cc2o1)c1cc2cc(C3=NCCN3)ccc2[nH]1,False
433021,ethyl 3-(aminomethyl)-1-benzofuran-2-carboxylate,CCOC(=O)C1=C(C2=CC=CC=C2O1)CN,219.24,16,12,3,1,0,0,2,CCOC(=O)c1oc2ccccc2c1CN,False
724043,(2R)-2-(4-chloro-2-methylphenoxy)-N-(2-fluorophenyl)propanamide,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)NC2=CC=CC=C2F,307.752,21,16,2,1,0,2,2,Cc1cc(Cl)ccc1OC(C)C(=O)Nc1ccccc1F,False
213796,"1-but-2-enyl-N-(2,4-dichlorophenyl)pyrrolidin-2-imine",CC=CCN1CCCC1=NC2=C(C=C(C=C2)Cl)Cl,283.202,18,14,0,2,0,2,1,CC=CCN1CCCC1=Nc1ccc(Cl)cc1Cl,False
526196,methyl 3-methyl-2-[[2-(3-oxo-2-pent-2-enylcyclopentyl)acetyl]amino]pentanoate,CCC=CCC1C(CCC1=O)CC(=O)NC(C(C)CC)C(=O)OC,337.4600000000001,24,19,4,1,0,0,0,CCC=CCC1C(=O)CCC1CC(=O)NC(C(=O)OC)C(C)CC,False
812618,"cyclopentyl-[(2R)-2-(3-phenyl-1,2,4-oxadiazol-5-yl)piperidin-1-yl]methanone",C1CCC(C1)C(=O)N2CCCCC2C3=NC(=NO3)C4=CC=CC=C4,325.41200000000003,24,19,2,3,0,0,2,O=C(C1CCCC1)N1CCCCC1c1nc(-c2ccccc2)no1,False
641182,1-(2-methylphenyl)-N-phenylethanimine,CC1=CC=CC=C1C(=NC2=CC=CC=C2)C,209.29200000000003,16,15,0,1,0,0,2,CC(=Nc1ccccc1)c1ccccc1C,False
965237,"N-(3,4-dimethylphenyl)naphthalene-2-sulfonamide",CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C,311.40600000000006,22,18,2,1,1,0,3,Cc1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1C,False
494515,"N-[8-oxo-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-5-yl]thiophene-2-carboxamide",COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)NC(=O)C6=CC=CS6,523.5630000000002,37,27,8,1,1,0,3,COc1cc(C2c3cc4c(cc3C(NC(=O)c3cccs3)C3COC(=O)C23)OCO4)cc(OC)c1OC,False
915216,2-(3-nitrophenyl)-3H-isoindol-1-one,C1C2=CC=CC=C2C(=O)N1C3=CC(=CC=C3)[N+](=O)[O-],254.245,19,14,3,2,0,0,2,O=C1c2ccccc2CN1c1cccc([N+](=O)[O-])c1,False
889588,"N-(2,4-difluorophenyl)-3-(2-methylpropanoylamino)benzamide",CC(C)C(=O)NC1=CC=CC(=C1)C(=O)NC2=C(C=C(C=C2)F)F,318.323,23,17,2,2,0,2,2,CC(C)C(=O)Nc1cccc(C(=O)Nc2ccc(F)cc2F)c1,False
771582,"5-(cyclobutanecarbonylamino)-N,N-diethyl-2-pyrrolidin-1-ylbenzamide",CCN(CC)C(=O)C1=C(C=CC(=C1)NC(=O)C2CCC2)N3CCCC3,343.47100000000023,25,20,2,3,0,0,1,CCN(CC)C(=O)c1cc(NC(=O)C2CCC2)ccc1N1CCCC1,False
